name,year,google_scholar_profile_quality,category,review_requested,reason,retained_concern,acm_fellow_profile,google_scholar_profile,acm_citation,scholar_name,scholar_affiliation,sample_publications,evidence_title,evidence_authors,supporting_source,shared_fellow,shared_fellow_quality,reviewed_at,scholar_fetched_at,scholar_capture_sha256,acm_fetched_at,acm_capture_sha256
Pat Hanrahan,2019,Y,reasonable_sample,N,"Rendering, light fields, graphics hardware and visualization fit ACM; contributor and foreword credits are compatible with the rendering-book entries.",,https://awards.acm.org/award-recipients/hanrahan_4652251,https://scholar.google.com/citations?user=RzEnQmgAAAAJ,"For fundamental contributions to 3D computer graphics, and the impact of computer-generated imagery (CGI) in filmmaking and other applications.",Patrick Hanrahan,Stanford University,20,,,,Pat Hanrahan,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:06:26Z,56d2821a234cd064a77c1cd545750aa6186811a6fe968198b0f2693640e1c037,2026-09-13T23:36:55Z,c83b4894fbbd9f0d097cbba38789e2b9ff621d85b734a5546c6be833ddd7db26
Geoffrey E Hinton,2018,Y,reasonable_sample,N,"Neural networks, backpropagation, representation learning and deep learning fit the ACM citation and Toronto identity.",,https://awards.acm.org/award-recipients/hinton_4791679,https://scholar.google.com/citations?user=JicYPdAAAAAJ,For conceptual and engineering breakthroughs that have made deep neural networks a critical component of computing.,Geoffrey Hinton,"Emeritus Prof. Computer Science, University of Toronto",20,,,,Geoffrey E Hinton,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:06:32Z,c217bd04ae1f9a8399071b530b442eccb57b97142c8c7055160fe84e6256639b,2026-09-13T23:37:02Z,dda652800b49e65bdc7086cf9b8f10ed17a020879f01062990011b5b4d51cb45
Yann LeCun,2018,Y,reasonable_sample,N,"Convolutional networks, handwriting recognition and deep learning fit ACM; an aggregated CVPR proceedings entry does not materially spoil the sample.",,https://awards.acm.org/award-recipients/lecun_6017366,https://scholar.google.com/citations?user=WLN3QrAAAAAJ,For conceptual and engineering breakthroughs that have made deep neural networks a critical component of computing.,Yann LeCun,"Executive Chairman AMI Labs & Jacob T Schwarz Professor, Courant Institute, New York University",20,,,,Yann LeCun,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:06:39Z,8a75d88371a1ceb9c728723926c1412cca8c6b2f3e1f4db63812f359f0ed424a,2026-09-13T23:37:09Z,f45b7249dcc5036394cae69cb99a3e62ab9754502c9fde807aa9e5e15e321c18
Yoshua Bengio,2018,Y,reasonable_sample,N,"Deep learning, generative models, neural translation and representation learning fit ACM and the Montreal identity.",,https://awards.acm.org/award-recipients/bengio_3406375,https://scholar.google.com/citations?user=kukA0LcAAAAJ,For conceptual and engineering breakthroughs that have made deep neural networks a critical component of computing.,Yoshua Bengio,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",20,,,,Yoshua Bengio,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:06:46Z,5c1a4751b38ad2d577f856d6f38dc992ffc4f2d36ed3cf1c3e6b5676e48fbf6f,2026-09-13T23:37:16Z,da9b63808208634efb3d972ab4dcec669390a192bc63ba25fa799da1a8a87fbd
David Patterson,2017,Y,isolated_attribution_concern,N,"Computer architecture, RAID, cloud computing, RISC-V and TPU work dominate; the known QWERTY misattribution and another possible outlier do not meet the substantial-contamination threshold.",Clio and the Economics of QWERTY is credited to Paul A. David; the rest of the sample is dominated by the recipient's architecture and systems work.,https://awards.acm.org/award-recipients/patterson_2316693,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ,"For pioneering a systematic, quantitative approach to the design and evaluation of computer architectures with enduring impact on the microprocessor industry.",David Patterson,"Professor of Computer Science, UC Berkeley",20,Clio and the Economics of QWERTY,PA David,https://joeornstein.github.io/pols-4641/readings/David%20-%201985%20-%20Clio%20and%20the%20Economics%20of%20QWERTY.pdf,David Patterson,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:06:54Z,c571b2a858947549eb49f0a53a1c31455e38fef9d327bb211fa520b0dcfce026,2026-09-13T23:37:23Z,d109d8526553d3ec153bf5ec0a6add3a99abb6715c0efc27148ec136caee0507
John L Hennessy,2017,Y,reasonable_sample,N,"Architecture textbooks, DASH/FLASH, cache coherence, compilers and multiprocessors fit the ACM citation and Stanford identity.",,https://awards.acm.org/award-recipients/hennessy_1426931,https://scholar.google.com/citations?user=tp07xT0AAAAJ,"For pioneering a systematic, quantitative approach to the design and evaluation of computer architectures with enduring impact on the microprocessor industry.",John Hennessy,Stanford University,20,,,,John L Hennessy,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:07:00Z,6e8b22584e1948ae7f556ee9b98f2e8060d18eb147d60a769f4c875f44daf32a,2026-09-13T23:37:29Z,9a47ab4bf6fa45b7df520fae8418db29bb91bf8c2fcb913d446c9ec3962f1162
Tim Berners-Lee,2016,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/berners-lee_8087960,,"For inventing the World Wide Web, the first web browser, and the fundamental protocols and algorithms allowing the Web to scale.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:37:37Z,12a88ecd64d737b1631d963460b6b090539441194de8ea6f07d8773c54cb74e8
Martin Hellman,2015,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/hellman_4055781,,"For inventing and promulgating both asymmetric public-key cryptography, including its application to digital signatures, and a practical cryptographic key-exchange method.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:37:43Z,44e42289f5fe8e517ae0cbf5d6e878aa4fb53064dd6b5d7de3651082c4e124ab
Whitfield Diffie,2015,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/diffie_8371646,,"For inventing and promulgating both asymmetric public-key cryptography, including its application to digital signatures, and a practical cryptographic key-exchange method.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:37:50Z,c8801570e7488679e1db814d833dd57ac2a62c6cae758d4eb4c769a00f1ec668
Michael Stonebraker,2014,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/stonebraker_1172121,,For fundamental contributions to the concepts and practices underlying modern database systems.,,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:37:57Z,6d2d7a7fdd4f589c90799b4e06258404732f222387a886338f380f6f977d8e22
Leslie Lamport,2013,Y,reasonable_sample,N,"Distributed systems, clocks, consensus, temporal logic and LaTeX identify the expected recipient despite an unknown affiliation field.",,https://awards.acm.org/award-recipients/lamport_1205376,https://scholar.google.com/citations?user=uG3icVgAAAAJ,"For fundamental contributions to the theory and practice of distributed and concurrent systems, notably the invention of concepts such as causality and logical clocks, safety and liveness, replicated state machines, and sequential consistency.",Leslie Lamport,Unknown affiliation,20,,,,Leslie Lamport,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:07:07Z,c948e58125f9f6570b801ce4a704939dd7add6398b9e08639c3fde381a17b1fb,2026-09-13T23:38:04Z,3a73489dfeb6f22a5e7ce4b3a4cf29cd8ab097565cc61da0f2d29297a9ea399f
Shafi Goldwasser,2012,Y,reasonable_sample,N,"Cryptography, interactive proofs, signatures and complexity fit the ACM citation and Berkeley identity.",,https://awards.acm.org/award-recipients/goldwasser_8627889,https://scholar.google.com/citations?user=KA8dgpMAAAAJ,"Along with Silvio Micali, for transformative work that laid the complexity-theoretic foundations for the science of cryptography, and in the process pioneered new methods for efficient verification of mathematical proofs in complexity theory.",Shafi Goldwasser,professor of computer science at UC Berkeley,20,,,,Shafi Goldwasser,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:07:14Z,baded7a9e35afed8e68f88f134d78c3efbee39422a51973088f76bd91f27d78e,2026-09-13T23:38:11Z,5a66c15c0c6407d444a3e769835e3805c25bfe62f42478abcb9222ff1a424c36
Silvio Micali,2012,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/micali_9954407,,"Along with Shafi Goldwasser, for transformative work that laid the complexity-theoretic foundations for the science of cryptography, and in the process pioneered new methods for efficient verification of mathematical proofs in complexity theory.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:38:18Z,51b4fe60bc30091acd4ca7f0eda67f1545524b481837bbb37fcbe0c099850b34
Judea Pearl,2011,Y,reasonable_sample,N,"Causal and probabilistic reasoning, Bayesian networks and heuristic search fit the ACM citation; epidemiologic causal-method papers are relevant applications.",,https://awards.acm.org/award-recipients/pearl_2658896,https://scholar.google.com/citations?user=bAipNH8AAAAJ,For fundamental contributions to artificial intelligence through the development of a calculus for probabilistic and causal reasoning.,Judea Pearl,"Professor of Computer Science, University of California, Los Angeles",20,,,,Judea Pearl,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:07:19Z,8adf51f6d3bc4eec97a4b33b7a78d5aae00e9f94cdacafc7e2656b4f32a35d4b,2026-09-13T23:38:25Z,26bb50af22199db9c67299184f5ce97d03d992421c3e8212ac5067886476f3de
Leslie G Valiant,2010,Y,reasonable_sample,N,"PAC learning, counting complexity, parallel computation and algebraic complexity fit ACM despite an unknown affiliation field.",,https://awards.acm.org/award-recipients/valiant_2612174,https://scholar.google.com/citations?user=H509xdsAAAAJ,"For transformative contributions to the theory of computation, including the theory of probably approximately correct (PAC) learning, the complexity of enumeration and of algebraic computation, and the theory of parallel and distributed computing.",Leslie Valiant,Unknown affiliation,20,,,,Leslie G Valiant,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:07:27Z,9462fb8f3550f90f0546125df33c4746c411426a888f643bd00152c65ea39dd9,2026-09-13T23:38:33Z,12050bfa49e6d5a5495f2d5c1ea91601a68bb19ac54b15f85d2a52c93fe3bdf9
Charles P. Thacker,2009,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/thacker_1336106,,"For the pioneering design and realization of the first modern personal computer -- the Alto at Xerox PARC -- and seminal inventions and contributions to local area networks (including the Ethernet), multiprocessor workstations, snooping cache coherence protocols, and tablet personal computers.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:39:58Z,fc56ca95a38ad20e97d1e8e5a57645b5a9f9386dddea9b2b0dc1ad3e48c36143
Barbara Liskov,2008,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/liskov_1108679,,"For contributions to practical and theoretical foundations of programming language and system design, especially related to data abstraction, fault tolerance, and distributed computing.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:40:05Z,b379384215af6f0b8592d789118d2e00685001861f71a73db9117e1e5ed3711d
E. Allen Emerson,2007,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/emerson_1671460,,"Together with Edmund Clarke and Joseph Sifakis, for their role in developing Model-Checking into a highly effective verification technology that is widely adopted in the hardware and software industries.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:40:11Z,fc6841d58cc04cb4299ea218368e446cb6c16d194747fdf96a84c59efd698032
Edmund Clarke,2007,Y,reasonable_sample,N,"Model checking, temporal logic, abstraction and verification tools form a coherent sample matching the ACM citation.",,https://awards.acm.org/award-recipients/clarke_1167964,https://scholar.google.com/citations?user=_adL2C8AAAAJ,"Together with E. Allen Emerson and Joseph Sifakis, for their role in developing Model-Checking into a highly effective verification technology that is widely adopted in the hardware and software industries.",Edmund Clarke,University Professor Emeritus at Carnegie Mellon University,20,,,,Edmund Clarke,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:07:40Z,056914fa5e910b8b9bdbb96e28a58534a58fe6d8acdcba6509c038fdba87c0f7,2026-09-13T23:40:18Z,9a881b9469d12a83dd882a4377caedde97da24c64d562d5502fa91439a20650b
Joseph Sifakis,2007,Y,reasonable_sample,N,"Model checking, timed and hybrid systems, controllers and component-based design fit ACM and Verimag.",,https://awards.acm.org/award-recipients/sifakis_1701095,https://scholar.google.com/citations?user=8jCwk4EAAAAJ,"Together with Edmund Clarke and E. Allen Emerson, for their role in developing Model-Checking into a highly effective verification technology that is widely adopted in the hardware and software industries.",Joseph Sifakis,"Reseracher at Verimag laboratory, Grenoble",20,,,,Joseph Sifakis,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:07:45Z,e6d806793b99ab9ac520b11010a7bb5b8a8537d38078d48069ca12a7005a1a31,2026-09-13T23:40:25Z,2be4077a089de4700aa0adf134b852c5a8ada8474cb6d7cc6e696813cc8b44bb
Frances Allen,2006,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/allen_1012327,,For pioneering contributions to the theory and practice of optimizing compiler techniques that laid the foundation for modern optimizing compilers and automatic parallel execution.,,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:40:31Z,6ac4b9f268fac21cc6f2ea81c6501a6b9cd6de25ac5cddfda846bf599860992c
Peter Naur,2005,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/naur_1024454,,"For fundamental contributions to programming language design and the definition of Algol 60, to compiler design, and to the art and practice of computer programming.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:40:37Z,422b08ffdebac270b77c84f828506662b02cfdd5c5c8ee2d994eb42e9fc92281
Robert E Kahn,2004,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/kahn_4598637,,"For pioneering work on internetworking, including the design and implementation of the Internet's basic communications protocols, TCP/IP, and for inspired leadership in networking.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:40:44Z,1988e8c3568e0cf817089fc0ec6d39b929787e5b8b4cf1faf714fe22732e65fb
Vinton Cerf,2004,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/cerf_1083211,,"For pioneering work on internetworking, including the design and implementation of the Internet's basic communications protocols, TCP/IP, and for inspired leadership in networking.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:40:51Z,af5ba9646fe745d212056b13a1f624d4a0ae246718089ea7ee614867c4c66e18
Alan Kay,2003,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/kay_3972189,,"""For pioneering many of the ideas at the root of contemporary object-oriented programming languages, leading the team that developed Smalltalk, and for fundamental contributions to personal computing.""",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:40:57Z,3430decb42338c8fb83fa3c69559d5b56893d3d83bd13dd9f3b2fc3dca97567b
Adi Shamir,2002,Y,reasonable_sample,N,"RSA, secret sharing, identification, differential cryptanalysis and related cryptography fit ACM despite an unknown affiliation field.",,https://awards.acm.org/award-recipients/shamir_2327856,https://scholar.google.com/citations?user=EHLBP20AAAAJ,"Together with Leonard M. Adleman and Ronald Rivest, for their ingenious contribution to making public-key cryptography useful in practice.",Adi Shamir,Unknown affiliation,20,,,,Adi Shamir,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:07:52Z,726138f052c0385b57adc03b18e43b50a543c78bd9d34751e8029f688ff1d113,2026-09-13T23:41:05Z,a702128b110a2111f896564ae2860d3e2a2299f3b155c95f6c5f4e0b2cc7ad1a
Leonard M. Adleman,2002,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/adleman_7308544,,"Together with Ronald Rivest and Adi Shamir, for their ingenious contribution to making public-key cryptography useful in practice.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:41:11Z,11075103b2821f9525d6005d96c7d382731498807c0b021e217611457f3f8a9f
Ronald L Rivest,2002,Y,reasonable_sample,N,"RSA, signatures, encryption, algorithms and privacy dominate; the Merkle-credited secure-communication entry is an isolated related-area concern.",,https://awards.acm.org/award-recipients/rivest_1403005,https://scholar.google.com/citations?user=6qE0tdAAAAAJ,"Together with Leonard M. Adleman and Adi Shamir, for their ingenious contribution to making public-key cryptography useful in practice.",Ronald L. Rivest,MIT Institute Professor,20,,,,Ronald L Rivest,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:07:57Z,2072e3ddbb76f7e5af0bce2adc42dc5e2c71dc6cfcb5b390629c7762bdd19fdf,2026-09-13T23:41:18Z,33f2fcff322ae9aa1b5087b0645a5e6d18461c926a8cff61fc81d0098d65181b
Kristen Nygaard,2001,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://amturing.acm.org/award_winners/nygaard_5916220.cfm,,"With Ole-Johan Dahl, for ideas fundamental to the emergence of object oriented programming, through their design of the programming languages Simula I and Simula 67.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:41:25Z,aa0bbb6d9c1c0fd8aa9b537400639ce514b28b400d152125326481252f5dafa9
Ole-Johan Dahl,2001,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/dahl_6917600,,"With Kristen Nygaard, for ideas fundamental to the emergence of object oriented programming, through their design of the programming languages Simula I and Simula 67.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:41:31Z,99835666be089f032c1875efae69657f8cb117ffd7f4295af6f775f932921641
Andrew C Yao,2000,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/yao_1611524,,"In recognition of his fundamental contributions to the theory of computation, including the complexity-based theory of pseudorandom number generation, cryptography, and communication complexity.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:41:38Z,dc829a458bd07f9bb67b247262ff5661e23fe0ca5fb93962424c10ba78cc244d
Frederick Brooks,1999,Y,contributor_credit_caveat,Y,"Software engineering, architecture and virtual-environment systems fit ACM; related nanomanipulation work is coherent, while one architecture-book attribution remains uncertain.","The architecture textbook lists Patterson, Hennessy and Goldberg; a contributor or merged-record explanation remains unresolved, but the surrounding sample is coherent.",https://awards.acm.org/award-recipients/brooks_1002187,https://scholar.google.com/citations?user=_h65cfgAAAAJ,"For landmark contributions to computer architecture, operating systems, and software engineering.",Frederick P. Brooks,"University of North Carolina at Chapel Hill, emeritus",20,Computer architecture: a quantitative approach,"DA Patterson, JL Hennessy, D Goldberg",,Frederick Brooks,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:08:04Z,448dc6d68f5b25c1d7ca91f6811e95df8e90e6d366d98a852c9546c0d5ebcf83,2026-09-13T23:41:45Z,ceac6bda694016b6c4230efe284f4676a32665f9da17436c2b3aa35944c02468
Jim Gray,1998,Y,reasonable_sample,N,"Transactions, relational databases, replication and scientific data releases form a coherent database-systems record matching ACM; astronomy collaborations alone are not evidence of contamination.",,https://awards.acm.org/award-recipients/gray_3649936,https://scholar.google.com/citations?user=Dn4kkYUAAAAJ,For seminal contributions to database and transaction processing research and technical leadership in system implementation.,Jim Gray,"IBM, Tandem, DEC, Microsoft",20,,,,Jim Gray,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:10:33Z,123b797feef5c72f08de31a11a27d5b6a6d34588ca629a0b700caaeccc913716,2026-09-13T23:41:52Z,04af618963afd0f93b5e88200d54d4513335fa7b37a51331962fe9db3c51a639
Douglas Engelbart,1997,Y,reasonable_sample,N,"Human augmentation, NLS/AUGMENT, interactive displays and collaborative knowledge systems fit the ACM citation and SRI identity.",,https://awards.acm.org/award-recipients/engelbart_5078811,https://scholar.google.com/citations?user=AS8m_l4AAAAJ,For an inspiring vision of the future of interactive computing and the invention of key technologies to help realize this vision.,Douglas Engelbart,"SRI, Bootstrap Institute",20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:10:40Z,03f7ef4a4720ff2d9f79e8e26d89183de782d5e1d23119c05d4c9c7a3ed05c68,2026-09-13T23:41:58Z,c755f02f3d90ca22e1d1e98dbb309298bf6b6b19a78e5507eb34030dd0c23ebc
