roster,name,year,csrankings_name,csrankings_name_alignment_date,status,reason,candidate_names,selected_affiliation,selected_homepage,acm_citation,scholar_name,scholar_affiliation,scholar_interests,dblp_name,dblp_information,evidence_urls
acm_fellows.csv,"Mei, Tao",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to multimedia analysis, retrieval, and applications",Tao Mei,Founder of HiDream.ai; Fellow of CAE/ACM/IEEE/IAPR,"[""Multimedia"", ""Computer Vision"", ""Generative AI"", ""Artificial Intelligence""]",Tao Mei 0001,"affiliation: JD AI Research, Beijing, China affiliation: Microsoft Research Asia, Beijing, China affiliation (PhD 2006): University of Science and Technology of China, Department of Automation, Hefei, China",https://awards.acm.org/award-recipients/mei_8219007
acm_fellows.csv,"Melodia, Tommaso",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to open radio access network architectures and AI-native wireless networks,Tommaso Melodia,Institute for Intelligent Networked Systems at Northeastern University,"[""Open RAN"", ""Spectrum Sharing"", ""5G/6G"", ""AI/ML"", ""Internet of Things""]",Tommaso Melodia,,https://awards.acm.org/award-recipients/melodia_7974362
acm_fellows.csv,"Milojicic, Dejan S",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to software and hardware architectures of distributed systems, from high performance computing to cloud computing.",Dejan Milojicic,Hewlett Packard Labs,"[""Distributed Systems"", ""Operating Systems"", ""Cloud Computing"", ""Systems Software"", ""HPC""]",Dejan S. Milojicic,affiliation: Hewlett Packard Labs unicode name: Dejan S. Milojičić,https://awards.acm.org/award-recipients/milojicic_3644218
acm_fellows.csv,"Moffat, Alistair M",2025,Alistair Moffat,2026-09-18,scholar_id_and_identity_context,Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity.,Alistair Moffat,University of Melbourne,http://people.eng.unimelb.edu.au/ammoffat,For contributions to the implementation and evaluation of search engines.,Alistair Moffat,"School of Computing and Information Systems, The University of Melbourne","[""Compression"", ""indexing"", ""retrieval"", ""search"", ""information systems""]",Alistair Moffat,"affiliation: University of Melbourne, School of Computing and Information Systems, Australia",https://awards.acm.org/award-recipients/moffat_1885573 | https://scholar.google.com/citations?user=r3xSME0AAAAJ
acm_fellows.csv,"Musuvathi, Madanlal",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For the development of methods in concurrency verification and testing, and machine learning systems design",Madanlal Musuvathi,Microsoft Research,"[""Concurrency and Parallelism"", ""Program Verification"", ""Algorithms"", ""Systems"", ""Model Checking""]",Madan Musuvathi,affiliation: Microsoft Research,https://awards.acm.org/award-recipients/musuvathi_4713478
acm_fellows.csv,"Palpanas, Themis",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to time-series and high-dimensional vector indexing and similarity-search, anomaly detection, and entity resolution.",Themis Palpanas,"Distinguished Professor, University Paris Cite, ACM Fellow, French University Institute (IUF) Fellow","[""data management"", ""data science"", ""data/time series"", ""anomaly detection"", ""high-dimensional similarity""]",Themis Palpanas,"affiliation: Paris Descartes University, France affiliation (former): University of California, Riverside, USA",https://awards.acm.org/award-recipients/palpanas_NA32961
acm_fellows.csv,"Procaccia, Ariel",2025,Ariel D. Procaccia,2026-09-18,scholar_id_and_identity_context,Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity.,Ariel D. Procaccia,Harvard University,http://procaccia.info,"For contributions to AI, algorithms, and society, including foundational work and practical impact.",Ariel Procaccia,"Alfred and Rebecca Lin Professor of Computer Science, Harvard University","[""Artificial Intelligence"", ""Algorithmic Game Theory"", ""Computational Social Choice""]",Ariel D. Procaccia,"affiliation: Harvard University, Cambridge, USA affiliation (former): Carnegie Mellon University, Pittsburgh, USA",https://awards.acm.org/award-recipients/procaccia_1176772 | https://scholar.google.com/citations?user=8ZpV-lkAAAAJ
acm_fellows.csv,"Rappaport, Theodore",2025,Theodore S. Rappaport,2026-09-18,scholar_id_and_identity_context,"Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity. Among multiple source spellings, use the reviewed DBLP or Scholar spelling (preserving any source campus tag); Ellen Zegura uses the initial form shared by an identical source profile.",Theodore S. Rappaport | Theodore Ted S. Rappaport,New York University,http://wireless.engineering.nyu.edu/tedrappaport,For research contributions in wireless networks,Theodore (Ted) S. Rappaport,"NYU WIRELESS Founder; Lee/Weber Chair of ECE; Prof. of CS; Prof. of Radiology, New York University","[""wireless"", ""communications"", ""antennas"", ""propagation"", ""6G""]",Theodore S. Rappaport,,https://awards.acm.org/award-recipients/rappaport_6520722 | https://scholar.google.com/citations?user=aLOSzWwAAAAJ
acm_fellows.csv,"Shankar, Natarajan",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions in automated reasoning, mechanized metatheory, formalized mathematics, formal methods, and system assurance.",Natarajan Shankar,SRI International Computer Science Laboratory,"[""Computational Logic"", ""Automated Reasoning"", ""Formal Methods"", ""Computer-Aided Verification"", ""Programming Languages""]",Natarajan Shankar,"affiliation: SRI International, Menlo Park, CA, USA",https://awards.acm.org/award-recipients/shankar_3285830
acm_fellows.csv,"Starbird, Kate",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to understanding and improving information ecosystems, including during crisis events and addressing misinformation",Kate Starbird,"Professor, Human Centered Design & Engineering, University of Washington","[""Crisis Informatics"", ""Crowdsourcing"", ""Crowdwork"", ""CSCW"", ""Human Computer Interaction""]",Kate Starbird,"affiliation: University of Washington, Seattle, WA, USA",https://awards.acm.org/award-recipients/starbird_5342784
acm_fellows.csv,"Suh, Gookwon Edward",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to the development of secure hardware circuits and processors.,Edward Suh,NVIDIA / Cornell University,"[""Computer Architecture"", ""Security"", ""EDA"", ""Machine Learning""]",G. Edward Suh,"affiliation: Cornell University, Ithaca, NY, USA",https://awards.acm.org/award-recipients/suh_UK42031
acm_fellows.csv,"Wright, Rebecca N.",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to security and privacy, and for leadership in computing research and education",Rebecca N. Wright,Barnard College,"[""cybersecurity"", ""privacy"", ""distributed computing""]",Rebecca N. Wright,"affiliation: Barnard College, NY, USA affiliation (former): Rutgers University, USA",https://awards.acm.org/award-recipients/wright_9672189
acm_fellows.csv,"Zheng, Yu",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to spatio-temporal data mining and urban computing,Yu Zheng,"Vice President of JD.COM, Head of AI Institute in Soutwest Jiaotong University, IEEE/ACM Fellow","[""Urban Computing"", ""Artificial Intelligence"", ""Spatio-temporal Data Mining"", ""Ubiquitous Computing""]",Yu Zheng 0004,"unicode name: 郑宇 affiliation: JD Intelligent Cities Research, Beijing, China affiliation: Southwest Jiaotong University, School of Information Science and Technology, Chengdu, China affiliation: Xidian University, School of Computer Science and Technology, Xi'an, China affiliation: Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, China",https://awards.acm.org/award-recipients/zheng_0370383
acm_fellows.csv,"Bailey, Michael",2024,Michael D. Bailey,2026-09-18,scholar_id_and_identity_context,"Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity. Among multiple source spellings, use the reviewed DBLP or Scholar spelling (preserving any source campus tag); Ellen Zegura uses the initial form shared by an identical source profile.",Michael D. Bailey | Michael Donald Bailey | Mike Bailey,Georgia Institute of Technology,https://faculty.cc.gatech.edu/~mbailey,For contributions to cybersecurity and internet measurement.,Michael Donald Bailey,Georgia Institute of Technology,"[""Software Systems""]",Michael D. Bailey,"affiliation: Georgia Institute of Technology, Atlanta, GA, USA affiliation (former): University of Illinois Urbana-Champaign, IL, USA",https://awards.acm.org/award-recipients/bailey_5046024 | https://scholar.google.com/citations?user=sMnocAYAAAAJ
acm_fellows.csv,"Bodker, Susanne",2024,Susanne Bødker,2026-09-18,scholar_id_and_identity_context,Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity.,Susanne Bødker,Aarhus University,http://pure.au.dk/portal/en/persons/id(87d4fbb6-b38c-449e-b87d-59f693b7d6f0).html,"For contributions to participatory design, computer-supported collaborative work, and human-computer interaction.",Susanne Bødker,"Professor of Computer Science, Aarhus University","[""Human-Computer Interaction"", ""HCI"", ""CSCW"", ""Interaction design"", ""Participatory design""]",Susanne Bødker,"affiliation: Aarhus University, Aarhus, Denmark",https://awards.acm.org/award-recipients/bodker_4165858 | https://scholar.google.com/citations?user=tO-dGhkAAAAJ
acm_fellows.csv,"Chandra, Satish",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to the foundations and practice of software development tools,Satish Chandra,"Meta Platforms, Inc.","[""machine learning"", ""programming languages"", ""software engineering"", ""program analysis""]",Satish Chandra 0001,"affiliation: Google, USA affiliation (former): Facebook, Menlo Park, CA, USA affiliation (former): Samsung Research America, Mountain View, CA, USA affiliation (former): IBM Research, T.J. Watson Research Center, Yorktown Heights, NY, USA affiliation (former): Bell Laboratories, Naperville, IL, USA",https://awards.acm.org/award-recipients/chandra_3959079
acm_fellows.csv,"Chen, Wei",2024,,,unresolved_candidates,No candidate with sufficient corroborating identity evidence in this pass.,Wei Chen 0001 | Wei Chen 0021,,,For contributions to network influence maximization and combinatorial online learning,Wei Chen,"Microsoft Research, ACM/IEEE Fellow","[""Social and information networks"", ""online learning"", ""networked game theory and economics"", ""distributed""]",Wei Chen 0013,"unicode name: 陈卫 affiliation: Microsoft Research Asia, Beijing, China affiliation (former): Tsinghua University, Institute of Interdisciplinary Information Sciences, Beijing, China affiliation (former): Chinese Academy of Sciences, Institute of Computing Technology, Beijing, China affiliation (former): Oracle Corporation affiliation (PhD 2000): Cornell University, Department of Computer Science, Ithaca, NY, USA not to be confused with: Wei Chen 0034",https://awards.acm.org/award-recipients/chen_1945616
acm_fellows.csv,"Chiasserini, Carla Fabiana",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to the design of high-performance mobile networks and services,Carla Fabiana Chiasserini,"Full Professor, Politecnico di Torino, Italy","[""Mobile networks""]",Carla Fabiana Chiasserini,"affiliation: Polytechnic University of Turin, Italy",https://awards.acm.org/award-recipients/chiasserini_6232706
acm_fellows.csv,"Crocker, Stephen David",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For pioneering leadership in the design of the Arpanet Host-Host Protocols and applications,,,,Steve Crocker,,https://awards.acm.org/award-recipients/crocker_2161414
acm_fellows.csv,"Delp, Edward J",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For Contributions to Multimedia Security, Image and Video Compression, and Image-Based Dietary Assessment",Edward Delp,Purdue University,"[""signal processing"", ""video processing"", ""image processing"", ""digital watermarking"", ""pattern recognition""]",Edward J. Delp,"affiliation: Purdue University, West Lafayette, IN, USA",https://awards.acm.org/award-recipients/delp_4732418
acm_fellows.csv,"Dreyer, Derek",2024,Derek Dreyer [SWS],2026-09-18,scholar_id_and_identity_context,Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity.,Derek Dreyer [SWS],Max Planck Society,https://www.mpi-sws.org/~dreyer,For contributions to the logical and semantic foundations of programming languages,Derek Dreyer,"Max Planck Institute for Software Systems (MPI-SWS), Saarland Informatics Campus","[""Programming languages"", ""type systems"", ""semantics"", ""verification""]",Derek Dreyer,affiliation: Max Planck Institute for Software Systems,https://awards.acm.org/award-recipients/dreyer_5327374 | https://scholar.google.com/citations?user=1_c89uMAAAAJ
acm_fellows.csv,"Guha, Sudipto",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to streaming and approximation algorithms and their applications.,Sudipto Guha,`,"[""Algorithms"", ""Data Streams"", ""Databases"", ""Stochastic Optimization"", ""Machine Learning""]",Sudipto Guha,"affiliation: University of Pennsylvania, Philadelphia, PA, USA",https://awards.acm.org/award-recipients/guha_9889338
acm_fellows.csv,"Housley, Russell",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to Internet security standards, and leadership in the IETF.",,,,Russ Housley,,https://awards.acm.org/award-recipients/housley_3073715
acm_fellows.csv,"Hudson, Scott",2024,Scott E. Hudson,2026-09-18,scholar_id_and_identity_context,Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity.,Scott E. Hudson,Carnegie Mellon University,http://www.cs.cmu.edu/~hudson,"For contributions in user interface software, interactive devices, and computational fabrication applied to HCI.",Scott E. Hudson,"Professor of Human-Computer Interaction, Carnegie Mellon University","[""Human-Computer Interaction""]",Scott E. Hudson,"affiliation: Carnegie Mellon University, Pittsburgh, PA, USA affiliation (former): Georgia Institute of Technology, Atlanta, USA",https://awards.acm.org/award-recipients/hudson_1980200 | https://scholar.google.com/citations?user=6YU6_QoAAAAJ
acm_fellows.csv,"Lampe, Cliff",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions on social network systems, and outstanding leadership in the ACM SIGCHI community.",Cliff Lampe,"Professor, School of Information University of Michigan","[""social media"", ""computer-mediated communication"", ""computer-supported cooperative work"", ""HCI"", ""groupware""]",Cliff Lampe,"affiliation: University of Michigan, USA",https://awards.acm.org/award-recipients/lampe_0157663
acm_fellows.csv,"Madni, Azad M",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For technical leadership in advancing augmented intelligence and machine learning for aerospace and automotive systems,,,,Azad M. Madni,"affiliation: University of Southern California, USA",https://awards.acm.org/award-recipients/madni_2019240
acm_fellows.csv,"Menzies, Tim J.",2024,Tim Menzies,2026-09-18,scholar_id_and_identity_context,Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity.,Tim Menzies,North Carolina State University,http://menzies.us,For contributions to the foundation and application of AI to Software Engineering,Tim Menzies,"Professor, North Carolina State University, Computer Science, ACM Fellow, IEEE Fellow, ASE Fellow","[""automated software engineering"", ""defect prediction"", ""ai4se"", ""se4ai"", ""software cost estimation""]",Tim Menzies,"affiliation: North Carolina State University, North Carolina, USA affiliation (former): University of British Columbia, Vancouver, Canada",https://awards.acm.org/award-recipients/menzies_8594681 | https://scholar.google.com/citations?user=7htTUTgmLtUC
acm_fellows.csv,"O'Hearn, Peter W",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For fundamental contributions to the science and engineering of reasoning about programs.,Peter O'Hearn,University College London,"[""Programming Languages"", ""Verification"", ""Program Analysis"", ""Theory""]",Peter W. O'Hearn,"affiliation: Facebook Research affiliation (former): University College London, UK affiliation (former): Queen Mary University of London, UK award (2016): Gödel Prize",https://awards.acm.org/award-recipients/ohearn_3785417
acm_fellows.csv,"Ozcan, Fatma",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to the field of scalable data management systems,Fatma Ozcan,Google,"[""Big data"", ""query processing and optimization""]",Fatma Özcan 0001,affiliation: Systems Research@Google affiliation (former): IBM Research,https://awards.acm.org/award-recipients/ozcan_5014857
acm_fellows.csv,"Panda, Dhabaleswar K",2024,Dhabaleswar K. Panda 0001,2026-09-18,scholar_id_and_identity_context,"Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity. Among multiple source spellings, use the reviewed DBLP or Scholar spelling (preserving any source campus tag); Ellen Zegura uses the initial form shared by an identical source profile.",Dhabaleswar K. D. K. Panda | Dhabaleswar K. Panda | Dhabaleswar K. Panda 0001 | Dhabaleswar Kumar Panda 0001,Ohio State University,http://web.cse.ohio-state.edu/~panda,For contributions to high-performance and scalable communication in parallel and high-end computing systems.,Dhabaleswar K. Panda,"Professor of Computer Science, The Ohio State University","[""High Performance Computing"", ""Deep Learning"", ""Big Data"", ""Cloud Computing"", ""Exascale Computing""]",Dhabaleswar K. Panda 0001,"affiliation: Ohio State University, Columbus, USA",https://awards.acm.org/award-recipients/panda_3506292 | https://scholar.google.com/citations?user=7FXtL98AAAAJ
acm_fellows.csv,"Tian, Qi",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to multimedia information retrieval, computer vision, and AI for scientific computing",Qi Tian,"Chief AI Scientist at Huawei CBG & Director of Guangming Laboratory, Shenzhen, China","[""Multimedia"", ""Computer Vision"", ""Multimedia Information Retrieval"", ""AI for Science""]",Qi Tian 0001,"affiliation: Huawei Noah's Ark Lab affiliation (2002-2019): University of Texas at San Antonio, Department of Computer Science, TX, USA affiliation (2008-2009): Microsoft Research Asia, Beijing, China affiliation (former, PhD 2002): University of Illinois at Urbana-Champaign, Champaign, IL, USA affiliation (until 1996): Drexel University, Philadelphia, PA, USA affiliation (until 1992): Tsinghua University, Department of Electronic Engineering, Beijing, China",https://awards.acm.org/award-recipients/tian_0870782
acm_fellows.csv,"Walid, Anwar",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to the theory of multipath congestion control, its practical realization, and its deployment",,,,Anwar Elwalid,,https://awards.acm.org/award-recipients/walid_4359859
acm_fellows.csv,"Wang, Haixun",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to graph-based systems and their application to text understanding.,Haixun Wang,"VP of Engineering, Head of AI at EvenUp","[""Machine Learning"", ""Data and knowledge engineering"", ""NLP""]",Haixun Wang,"affiliation: Instacart affiliation (former): Google affiliation (former): University of California, Los Angeles, USA",https://awards.acm.org/award-recipients/wang_5236294
acm_fellows.csv,"Zhao, Feng",2024,,,unresolved_candidates,No candidate with sufficient corroborating identity evidence in this pass.,Fang Zhao 0003 | Fang Zhao 0006 | Fuheng Zhao | Peng Zhao 0001 | Peng Zhao 0006,,,For contributions to the theories and practices of networked embedded sensing and Internet of Things,Feng Zhao,Microsoft Research,"[""sensor network"", ""mobile"", ""wireless"", ""energy"", ""embedded""]",,,https://awards.acm.org/award-recipients/zhao_3018413
acm_fellows.csv,"Zhou, Jingren",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to cloud computing and query processing,Jingren Zhou,"Alibaba Group, Microsoft","[""Cloud Computing"", ""Large Scale Distributed Systems"", ""Machine Learning"", ""Query Processing"", ""Query""]",Jingren Zhou 0001,"affiliation: Alibaba Group, Alibaba Cloud Computing, Hangzhou, China affiliation: Microsoft Corp., Microsoft Research, Redmond, WA, USA affiliation (PhD): Columbia University, USA",https://awards.acm.org/award-recipients/zhou_9315680
acm_fellows.csv,"Zorn, Benjamin G",2024,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to programming language systems include run-time performance, security, and usability in programming.",Benjamin Zorn,"Microsoft Research, Redmond","[""Programming languages"", ""reliability"", ""security"", ""performance""]",Benjamin G. Zorn,"affiliation: Microsoft Research, USA",https://awards.acm.org/award-recipients/zorn_2009520
acm_fellows.csv,"Berners-Lee, Tim",2023,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For inventing the World Wide Web, the first web browser, and the fundamental protocols and algorithms allowing the Web to scale",,,,Tim Berners-Lee,"affiliation: Massachusetts Institiute of Technology, Cambridge, MA, USA affiliation: University of Southampton, School of Electronics and Computer Science, UK affiliation: CERN, Geneva, Switzerland award (2016): Turing Award award (2012): Internet Hall of Fame award (2002): Marconi Prize award (2000): EFF Pioneer Award award (1996): W. Wallace McDowell Award award (1995): ACM Software System Award",https://awards.acm.org/award-recipients/berners-lee_8087960
acm_fellows.csv,"Betz, Vaughn Timothy",2023,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to the architecture and computer-aided design of field programmable gate arrays (FPGAs),Vaughn Betz,University of Toronto,"[""FPGAs"", ""Computer Aided Design"", ""Deep Learning"", ""Hardware Acceleration"", ""VLSI""]",Vaughn Betz,,https://awards.acm.org/award-recipients/betz_2947711
acm_fellows.csv,"Caceres, Ramon",2023,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to mobile and edge computing,Ramón Cáceres,Retired,"[""Computer science""]",Ramón Cáceres,,https://awards.acm.org/award-recipients/caceres_2640969
acm_fellows.csv,"Chen, Yingying",2023,,,unresolved_candidates,No candidate with sufficient corroborating identity evidence in this pass.,Mingming Chen 0001 | Yongyong Chen,,,For contributions to design and application of mobile sensing and mobile security systems,Yingying Chen,"Fellow of AAAS, NAI, ACM and IEEE, Distinguished Professor and Dept. Chair, Rutgers University","[""AI-enabled mobile sensing & computing"", ""cyber security"", ""smart healthcare"", ""IoT"", ""secure AI/ML systems""]",Yingying Chen 0001,"affiliation: Rutgers University, Department of Electrical and Computer Engineering, New Brunswick, NJ, USA affiliation (former): Stevens Institute of Technology, Department of Electrical and Computer Engineering, Hoboken, NJ, USA",https://awards.acm.org/award-recipients/chen_8914317
acm_fellows.csv,"Church, Kenneth Ward",2023,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to empirical methods in natural language processing,Kenneth Church,VecML,"[""Natural Language Processing"", ""Corpora"", ""Speech""]",Kenneth Church 0001,"affiliation: Northeastern University, MA, USA affiliation (former): Johns Hopkins University affiliation (former): Microsoft Research",https://awards.acm.org/award-recipients/church_5316647
acm_fellows.csv,"Dannenberg, Roger B.",2023,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to the field of computer science through innovative computer music systems,Roger B. Dannenberg,"Professor of Computer Science, Carnegie Mellon University","[""Computer Music""]",Roger B. Dannenberg,"affiliation: Carnegie Mellon University, Pittsburgh, USA",https://awards.acm.org/award-recipients/dannenberg_3865244
acm_fellows.csv,"Dong, Xin Luna",2023,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to knowledge graph construction and data integration.,Xin Luna Dong,"ACM / IEEE Fellow, Principal Scientist at Meta","[""Knowledge graph"", ""Data quality"", ""NLP"", ""Search""]",Xin Dong 0001,affiliation: Meta Reality Labs affiliation (former): Amazon affiliation (former): Google,https://awards.acm.org/award-recipients/dong_4269593
acm_fellows.csv,"Dubey, Pradeep",2023,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to emerging compute- and data-intensive applications and parallel processing computer architectures,Pradeep Dubey,Intel Corporation,"[""Emergng applications and architecture""]",Pradeep Dubey,,https://awards.acm.org/award-recipients/dubey_7622525
